id	minimum_pValue	call
FBgn0003977	0.00279999798205972	present
FBgn0003978	1.09255415383153e-05	present
FBgn0003979	0.00013974622969566	present
FBgn0003980	0.000143629017216053	present
FBgn0003983	0.0043669405700827	present
FBgn0003984	0.156884471030904	absent
FBgn0003996	0.00076704520755076	present
FBgn0003997	0.000170857126624302	present
FBgn0004003	1.17767709792135e-07	present
FBgn0004034	0.504947215973122	absent
FBgn0004045	6.71386372100216e-15	present
FBgn0004047	7.44306602794504e-11	present
FBgn0004049	2.36906153021424e-06	present
FBgn0004050	6.46507790449912e-06	present
FBgn0004052	0.00361771832790658	present
FBgn0004053	NA	absent
FBgn0004054	NA	absent
